GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
ENSG00000215912	1	2567415	2718286	234	16	716517	-0.086874	0.53461
ENSG00000169717	1	2938046	2939465	3	1	716517	0.62382	0.26637
ENSG00000142611	1	2985732	3355185	1320	140	716517	-0.025034	0.50999
ENSG00000130762	1	3370990	3397677	90	10	716517	-0.093889	0.5374
ENSG00000162591	1	3406484	3528059	481	71	716517	-1.0174	0.84553
ENSG00000158109	1	3541566	3546691	11	3	716517	-0.74423	0.77163
ENSG00000116213	1	3547331	3569325	40	9	716517	-0.16897	0.56709
ENSG00000078900	1	3569084	3652765	290	44	716517	1.3321	0.091409
ENSG00000162592	1	3668962	3688209	62	11	716517	0.41824	0.33789
ENSG00000235169	1	3689352	3692546	12	5	716517	-1.2827	0.90021
ENSG00000130764	1	3696784	3713068	77	13	716517	-0.5867	0.7213
ENSG00000116198	1	3728645	3773778	299	16	716517	-1.6787	0.9534
ENSG00000169598	1	3773845	3801993	152	18	716517	-1.091	0.86236
ENSG00000198912	1	3805689	3816857	39	6	716517	0.14809	0.44114
ENSG00000196581	1	4714792	4852594	718	87	716517	0.3777	0.35283
ENSG00000131697	1	5922871	6052533	417	21	716517	-0.15531	0.56171
ENSG00000069424	1	6051526	6161253	316	44	716517	-1.365	0.91388
ENSG00000116254	1	6161853	6240183	292	29	716517	1.4344	0.075732
ENSG00000116251	1	6241329	6269449	67	12	716517	-1.2632	0.89674
ENSG00000158286	1	6265535	6281359	37	4	716517	-1.2825	0.90017
ENSG00000116237	1	6281253	6296032	30	5	716517	-1.2	0.88493
ENSG00000173673	1	6304252	6305638	5	2	716517	-1.105	0.86542
ENSG00000158292	1	6307406	6321035	40	3	716517	-0.72455	0.76563
ENSG00000097021	1	6324329	6454451	457	24	716517	-0.080225	0.53197
ENSG00000069812	1	6472478	6484730	42	7	716517	-0.14664	0.55829
ENSG00000187017	1	6484848	6521430	111	12	716517	0.87002	0.19214
ENSG00000215788	1	6521211	6526255	13	5	716517	1.3291	0.091899
ENSG00000171680	1	6526152	6580121	145	24	716517	0.3595	0.35961
ENSG00000162408	1	6581407	6614595	129	5	716517	-0.71157	0.76163
ENSG00000173662	1	6615241	6639817	52	8	716517	-0.39112	0.65215
ENSG00000204859	1	6640061	6649340	14	5	716517	-0.40714	0.65805
ENSG00000162413	1	6650784	6674667	53	13	716517	-0.78205	0.78291
ENSG00000116273	1	6673745	6684093	22	5	716517	-0.067854	0.52705
ENSG00000041988	1	6684926	6695646	33	7	716517	0.94216	0.17306
ENSG00000007923	1	6694228	6761984	162	19	716517	0.38162	0.35137
ENSG00000171735	1	6845384	7829766	2926	199	716517	-0.10272	0.54091
ENSG00000049245	1	7831329	7841492	36	9	716517	-0.19392	0.57688
ENSG00000049246	1	7844380	7905237	245	29	716517	-1.0583	0.85503
ENSG00000049247	1	7903143	7913572	42	13	716517	-1.7009	0.95552
ENSG00000049249	1	7979907	8000926	46	7	716517	0.67893	0.24859
ENSG00000116288	1	8014351	8045565	66	10	716517	-0.38451	0.6497
ENSG00000116285	1	8064464	8086368	32	6	716517	-1.1756	0.88011
ENSG00000162426	1	8377886	8404227	87	13	716517	1.1771	0.11958
ENSG00000142599	1	8412457	8877702	752	29	716517	0.61066	0.27071
ENSG00000074800	1	8921061	8939308	30	6	716517	-1.2109	0.88703
ENSG00000131686	1	9005926	9035151	130	27	716517	0.34811	0.36388
ENSG00000197241	1	9063359	9086404	77	19	716517	0.31776	0.37533
ENSG00000142583	1	9095166	9148537	216	28	716517	0.49999	0.30854
ENSG00000180758	1	9160364	9189229	82	11	716517	-0.26644	0.60505
ENSG00000049239	1	9294834	9331396	108	19	716517	1.8623	0.031279
ENSG00000171621	1	9352939	9429591	380	53	716517	-0.48495	0.68614
ENSG00000171612	1	9599541	9645237	57	7	716517	-0.21935	0.58681
ENSG00000188807	1	9648932	9674935	37	7	716517	0.076714	0.46943
ENSG00000171608	1	9711790	9789172	139	26	716517	0.84702	0.19849
ENSG00000179840	1	9712668	9714644	4	1	716517	0.46114	0.32235
ENSG00000171603	1	9789084	9884584	125	13	716517	-0.17626	0.56995
ENSG00000178585	1	9908334	9970394	69	11	716517	-1.6741	0.95295
ENSG00000162441	1	9982173	10003465	46	8	716517	0.32445	0.3728
ENSG00000173614	1	10003486	10045559	81	11	716517	0.50555	0.30659
ENSG00000162444	1	10057264	10076078	38	4	716517	0.78954	0.2149
ENSG00000130939	1	10092890	10241297	310	16	716517	-0.62113	0.73274
ENSG00000054523	1	10270863	10441661	550	16	716517	-0.13389	0.55326
ENSG00000142657	1	10458649	10480201	51	7	716517	0.40271	0.34358
ENSG00000175279	1	10490159	10512210	63	7	716517	-1.2109	0.88703
ENSG00000241563	1	10509776	10511959	4	2	716517	-0.30613	0.62025
ENSG00000160049	1	10516579	10532583	26	7	716517	0.39615	0.346
ENSG00000142655	1	10532345	10690815	417	29	716517	1.2708	0.1019
ENSG00000130940	1	10696661	10856707	424	70	716517	-0.53938	0.70519
ENSG00000175262	1	11006528	11042094	122	15	716517	1.7644	0.038834
ENSG00000120948	1	11072414	11085796	22	3	716517	1.301	0.096629
ENSG00000009724	1	11086580	11107290	54	6	716517	1.1822	0.11856
ENSG00000116649	1	11114641	11120081	9	3	716517	0.28095	0.38937
ENSG00000171824	1	11126675	11159938	97	5	716517	0.20745	0.41783
ENSG00000198793	1	11166592	11322564	321	8	716517	0.090694	0.46387
ENSG00000171819	1	11249398	11256038	12	2	716517	-0.26908	0.60607
ENSG00000120942	1	11333263	11356106	32	4	716517	0.2429	0.40404
ENSG00000204624	1	11539223	11597641	154	15	716517	-1.1268	0.87008
ENSG00000116661	1	11708424	11715842	17	8	716517	-0.8248	0.79526
ENSG00000132879	1	11714432	11723384	24	7	716517	0.41161	0.34031
ENSG00000116663	1	11724181	11734411	35	8	716517	0.56132	0.28729
ENSG00000116670	1	11734537	11751707	63	12	716517	0.63943	0.26127
ENSG00000162490	1	11751786	11785914	103	19	716517	0.27301	0.39242
ENSG00000177674	1	11796141	11814859	54	8	716517	0.0069745	0.49722
ENSG00000215910	1	11821844	11849642	153	10	716517	0.84651	0.19863
ENSG00000177000	1	11845780	11866977	82	11	716517	0.28895	0.38631
ENSG00000011021	1	11866207	11903201	202	14	716517	0.019532	0.49221
ENSG00000175206	1	11905766	11908402	17	4	716517	0.20281	0.41964
ENSG00000116685	1	11979648	11986485	22	6	716517	-1.7647	0.96119
ENSG00000083444	1	11994262	12035595	127	14	716517	-0.69711	0.75713
ENSG00000116688	1	12040238	12073571	84	8	716517	0.14987	0.44043
ENSG00000116691	1	12079523	12092102	23	5	716517	0.76641	0.22172
ENSG00000120949	1	12123434	12204264	213	38	716517	0.37106	0.35529
ENSG00000028137	1	12227060	12269285	133	15	716517	1.7679	0.038541
ENSG00000048707	1	12290124	12572099	509	20	716517	0.47257	0.31826
ENSG00000162496	1	12627939	12677737	172	31	716517	0.050305	0.47994
ENSG00000204518	1	12704566	12727097	48	4	716517	-1.4716	0.92944
ENSG00000188984	1	12776118	12788726	43	6	716517	-0.24847	0.59811
ENSG00000157330	1	12806163	12823847	46	7	716517	-0.69746	0.75724
ENSG00000116726	1	12834984	12838049	8	2	716517	0.88298	0.18862
ENSG00000116721	1	12851546	12856777	6	2	716517	-1.6926	0.95474
ENSG00000179172	1	12907261	12908578	3	1	716517	0.99164	0.16069
ENSG00000120952	1	12916941	12921764	8	1	716517	-0.26104	0.60297
ENSG00000162494	1	13801445	13840543	157	30	716517	-1.1258	0.86988
ENSG00000162493	1	13909960	13944452	106	25	716517	0.52867	0.29852
ENSG00000116731	1	14026693	14151574	386	29	716517	3.2138	0.00065488
ENSG00000189337	1	14925200	15444539	1924	186	716517	-0.58862	0.72194
ENSG00000171729	1	15479028	15546976	362	25	716517	1.0098	0.1563
ENSG00000204464	1	15490840	15497813	26	7	716517	0.17281	0.4314
ENSG00000142621	1	15573768	15726779	519	51	716517	-0.53271	0.70288
ENSG00000142634	1	15736391	15756839	69	20	716517	0.96154	0.16814
ENSG00000162438	1	15764935	15775737	29	10	716517	0.79315	0.21384
ENSG00000142615	1	15783223	15798586	65	10	716517	0.19046	0.42447
ENSG00000215704	1	15792404	15817895	89	14	716517	-0.12609	0.55017
ENSG00000132906	1	15817327	15853029	136	9	716517	0.44201	0.32924
ENSG00000116138	1	15853308	15918874	224	14	716517	0.78197	0.21711
ENSG00000116771	1	15898848	15911605	57	5	716517	0.72	0.23576
ENSG00000197312	1	15943995	15995539	124	7	716517	1.2834	0.099682
ENSG00000215695	1	15986364	15988217	3	2	716517	1.7556	0.039577
ENSG00000116786	1	16010827	16061264	150	12	716517	0.68429	0.24689
ENSG00000162461	1	16062900	16067891	7	3	716517	0.52519	0.29973
ENSG00000162460	1	16068917	16074477	15	4	716517	0.53348	0.29685
ENSG00000162458	1	16083102	16113089	67	11	716517	0.46672	0.32035
ENSG00000065526	1	16174359	16266955	150	18	716517	0.57685	0.28202
ENSG00000116809	1	16268364	16302627	55	12	716517	0.93353	0.17527
ENSG00000183888	1	16330731	16335302	16	5	716517	-0.71747	0.76346
ENSG00000173641	1	16340523	16346089	45	5	716517	-0.54984	0.70879
ENSG00000186510	1	16345370	16360545	88	12	716517	0.15535	0.43827
ENSG00000184908	1	16370272	16383803	126	13	716517	-0.030091	0.512
ENSG00000185519	1	16384264	16400127	62	7	716517	0.11801	0.45303
ENSG00000142627	1	16450832	16482582	62	14	716517	0.39985	0.34463
ENSG00000142632	1	16524349	16539104	58	6	716517	-0.35511	0.63874
ENSG00000204377	1	16555368	16556038	3	1	716517	-0.039675	0.51582
ENSG00000132881	1	16558195	16563657	14	5	716517	-0.1625	0.56455
ENSG00000037637	1	16573334	16678949	233	14	716517	0.12701	0.44947
ENSG00000055070	1	16679070	16724640	108	13	716517	-0.041736	0.51665
ENSG00000187144	1	16713612	16763919	141	23	716517	-0.18681	0.57409
ENSG00000157191	1	16767167	16786573	43	10	716517	-0.18595	0.57376
ENSG00000268674	1	16865561	16866070	1	1	716517	-1.9033	0.9715
ENSG00000058453	1	17066768	17299474	206	13	716517	-0.91417	0.81969
ENSG00000117122	1	17300997	17307330	18	4	716517	0.73772	0.23034
ENSG00000159363	1	17312453	17338423	55	11	716517	0.98219	0.163
ENSG00000117118	1	17345217	17380665	119	12	716517	0.221	0.41255
ENSG00000117115	1	17393256	17445948	273	16	716517	1.0101	0.15621
ENSG00000142623	1	17531621	17572500	163	41	716517	1.7132	0.043336
ENSG00000142619	1	17575593	17610728	173	25	716517	0.23724	0.40623
ENSG00000159339	1	17634690	17690499	307	23	716517	0.39046	0.3481
ENSG00000179051	1	17733256	17766220	78	11	716517	0.18081	0.42826
ENSG00000074964	1	17866330	18024369	403	43	716517	1.7776	0.037739
ENSG00000117148	1	18081808	18153558	212	23	716517	-0.39794	0.65466
ENSG00000117154	1	18434240	18704977	1016	115	716517	1.0991	0.13585
ENSG00000179023	1	18807424	18812478	27	6	716517	-0.20676	0.5819
ENSG00000009709	1	18957500	19075360	380	58	716517	-0.056457	0.52251
ENSG00000179002	1	19166093	19186176	118	21	716517	-0.19879	0.57879
ENSG00000159423	1	19197926	19229275	151	22	716517	0.57117	0.28394
ENSG00000169991	1	19230775	19283180	189	32	716517	1.4248	0.077107
ENSG00000127481	1	19401000	19536770	276	18	716517	-0.68379	0.75295
ENSG00000127463	1	19542158	19578046	108	13	716517	-0.19714	0.57814
ENSG00000053372	1	19578033	19586622	53	8	716517	-0.045714	0.51823
ENSG00000162482	1	19609052	19615744	29	5	716517	0.97443	0.16492
ENSG00000053371	1	19630459	19638640	26	10	716517	1.0042	0.15764
ENSG00000040487	1	19638820	19655794	87	12	716517	-0.058296	0.52324
ENSG00000077549	1	19665267	19812066	553	24	716517	-0.73057	0.76748
ENSG00000173436	1	19923477	19956314	77	13	716517	1.2646	0.10301
ENSG00000158747	1	19967048	19984945	69	19	716517	1.2163	0.11193
ENSG00000158748	1	19991780	20006055	43	8	716517	1.0763	0.1409
ENSG00000162542	1	20008706	20126438	406	50	716517	0.48674	0.31322
ENSG00000178828	1	20140523	20141771	6	4	716517	-0.55973	0.71217
ENSG00000169914	1	20209006	20239438	82	15	716517	-0.23523	0.59298
ENSG00000188784	1	20246502	20250110	19	6	716517	0.14029	0.44422
ENSG00000188257	1	20301925	20306932	14	6	716517	0.17046	0.43232
ENSG00000127472	1	20354672	20417683	215	25	716517	-0.16092	0.56392
ENSG00000117215	1	20438432	20446050	24	9	716517	-0.18071	0.5717
ENSG00000158786	1	20465819	20476879	23	10	716517	0.40577	0.34246
ENSG00000187980	1	20487746	20503917	56	12	716517	0.013075	0.49478
ENSG00000162543	1	20512578	20522541	9	3	716517	0.49143	0.31156
ENSG00000158816	1	20617412	20681387	262	25	716517	0.20154	0.42014
ENSG00000162545	1	20808884	20812713	4	2	716517	-1.1883	0.88265
ENSG00000090432	1	20825943	20834654	27	9	716517	0.45375	0.325
ENSG00000183114	1	20878932	20881512	3	1	716517	-0.11301	0.54499
ENSG00000158825	1	20915441	20945401	135	20	716517	-0.26821	0.60573
ENSG00000158828	1	20959948	20978004	73	10	716517	-1.3777	0.91585
ENSG00000244038	1	20978270	20988000	33	7	716517	-0.14798	0.55882
ENSG00000117245	1	20990507	21044510	219	45	716517	-1.101	0.86456
ENSG00000189410	1	21046225	21059330	39	10	716517	-1.1808	0.88116
ENSG00000127483	1	21069154	21113816	99	15	716517	0.213	0.41566
ENSG00000075151	1	21132963	21503377	796	27	716517	0.4793	0.31586
ENSG00000117298	1	21543740	21671997	361	37	716517	-0.10036	0.53997
ENSG00000142794	1	21766621	21811498	169	14	716517	0.85163	0.19721
ENSG00000162551	1	21835858	21904905	319	29	716517	0.21353	0.41546
ENSG00000076864	1	21922708	21995801	285	40	716517	1.6092	0.053791
ENSG00000090686	1	22004791	22110099	366	33	716517	-0.058034	0.52314
ENSG00000187942	1	22138758	22151714	43	17	716517	-0.95234	0.82954
ENSG00000142798	1	22148738	22263790	389	37	716517	-1.4681	0.92896
ENSG00000219073	1	22303514	22325135	200	20	716517	0.089699	0.46426
ENSG00000142789	1	22328149	22339032	74	10	716517	-0.27147	0.60698
ENSG00000070831	1	22379120	22419437	103	15	716517	0.46319	0.32161
ENSG00000162552	1	22443798	22470462	100	19	716517	0.079107	0.46847
ENSG00000184677	1	22778344	22857650	141	16	716517	1.2811	0.10009
ENSG00000070886	1	22890057	22930087	170	24	716517	0.22353	0.41156
ENSG00000173372	1	22962999	22966101	6	3	716517	0.10803	0.45699
ENSG00000159189	1	22970123	22974603	21	4	716517	1.0063	0.15714
ENSG00000173369	1	22979255	22988031	26	5	716517	0.78168	0.2172
ENSG00000133216	1	23037332	23241818	469	57	716517	-0.53741	0.70451
ENSG00000215906	1	23279536	23291831	39	10	716517	0.22385	0.41144
ENSG00000227868	1	23337327	23342343	9	3	716517	2.1278	0.016677
ENSG00000004487	1	23345941	23410182	75	9	716517	1.9205	0.027399
ENSG00000169641	1	23410516	23504301	178	20	716517	1.8699	0.030747
ENSG00000179546	1	23516993	23521222	9	2	716517	2.0263	0.021368
ENSG00000125944	1	23630264	23670829	36	6	716517	0.69109	0.24475
ENSG00000125945	1	23685941	23695935	28	6	716517	0.81548	0.2074
ENSG00000249087	1	23695490	23698332	4	2	716517	1.2605	0.10375
ENSG00000204219	1	23707554	23751233	126	19	716517	0.71194	0.23825
ENSG00000088280	1	23755056	23811061	120	14	716517	0.24515	0.40317
ENSG00000007968	1	23832922	23857712	54	8	716517	0.4564	0.32405
ENSG00000117318	1	23884409	23886285	9	4	716517	0.47402	0.31774
ENSG00000197880	1	23907985	23967058	119	27	716517	-2.1545	0.9844
ENSG00000142676	1	24018269	24022915	8	4	716517	1.6553	0.048936
ENSG00000011007	1	24069645	24088549	22	10	716517	1.0121	0.15575
ENSG00000057757	1	24104895	24114722	9	4	716517	0.028085	0.4888
ENSG00000011009	1	24117460	24122029	3	1	716517	0.61059	0.27074
ENSG00000117308	1	24122089	24127271	2	1	716517	0.77142	0.22023
ENSG00000117305	1	24128375	24165110	48	4	716517	0.9239	0.17777
ENSG00000179163	1	24171567	24194784	51	6	716517	1.2745	0.10125
ENSG00000188822	1	24197016	24285549	231	15	716517	1.7252	0.042245
ENSG00000189266	1	24285599	24289952	2	1	716517	-0.66039	0.7455
ENSG00000188529	1	24291294	24307417	4	2	716517	0.98162	0.16314
ENSG00000142661	1	24382525	24438665	200	22	716517	0.90563	0.18257
ENSG00000142677	1	24446261	24469611	68	14	716517	-1.3996	0.91918
ENSG00000185436	1	24480647	24514449	134	19	716517	-1.1564	0.87624
ENSG00000158055	1	24645812	24690972	96	20	716517	0.051332	0.47953
ENSG00000001460	1	24683489	24743424	163	17	716517	0.087457	0.46515
ENSG00000001461	1	24742284	24799466	170	16	716517	0.58752	0.27843
ENSG00000117602	1	24829387	24867530	119	15	716517	0.71931	0.23597
ENSG00000184454	1	24882602	24935819	247	31	716517	-1.2529	0.89488
ENSG00000133226	1	24958207	24999758	45	8	716517	-0.45554	0.67564
ENSG00000169504	1	25071848	25170815	106	12	716517	-0.47455	0.68244
ENSG00000020633	1	25226002	25291612	139	27	716517	1.2361	0.10821
ENSG00000117614	1	25549170	25558993	4	2	716517	0.13676	0.44561
ENSG00000117616	1	25568728	25664704	28	10	716517	-0.12834	0.55106
ENSG00000187010	1	25598884	25656936	4	2	716517	-0.20878	0.58269
ENSG00000183726	1	25664408	25688852	25	6	716517	-0.49859	0.69097
ENSG00000188672	1	25688740	25756683	91	4	716517	-0.28368	0.61167
ENSG00000204178	1	25757388	25826700	99	3	716517	-0.50921	0.6947
ENSG00000157978	1	25870071	25895377	61	8	716517	-0.46815	0.68016
ENSG00000117643	1	25943959	26112698	283	23	716517	1.5044	0.066241
ENSG00000162430	1	26126667	26144713	49	5	716517	0.71448	0.23746
ENSG00000117640	1	26145131	26159432	33	3	716517	0.60519	0.27253
ENSG00000127423	1	26158414	26185903	65	3	716517	0.67857	0.24871
ENSG00000182749	1	26187701	26197744	7	2	716517	-0.86616	0.8068
ENSG00000117632	1	26210672	26233482	29	5	716517	0.45562	0.32433
ENSG00000158006	1	26286258	26324648	92	7	716517	1.1373	0.1277
ENSG00000158008	1	26346375	26362955	26	7	716517	0.69448	0.24369
ENSG00000158014	1	26363743	26372624	19	3	716517	0.56828	0.28492
ENSG00000158022	1	26377795	26394927	44	6	716517	0.94758	0.17167
ENSG00000175087	1	26437664	26452034	33	3	716517	0.53784	0.29534
ENSG00000197245	1	26485511	26489119	10	4	716517	0.27668	0.39101
ENSG00000142684	1	26496362	26498551	10	3	716517	-0.85012	0.80237
ENSG00000142675	1	26503894	26516377	31	9	716517	-0.44814	0.67297
ENSG00000188782	1	26517052	26529459	66	10	716517	0.059518	0.47627
ENSG00000130695	1	26560691	26605299	141	12	716517	-1.2816	0.90001
ENSG00000142669	1	26605667	26608007	5	2	716517	-1.5485	0.93925
ENSG00000158062	1	26607819	26644854	129	11	716517	-0.95876	0.83116
ENSG00000169442	1	26644448	26647014	12	3	716517	-0.94688	0.82815
ENSG00000176092	1	26648350	26680621	102	14	716517	-1.2427	0.89301
ENSG00000176083	1	26688125	26701013	49	9	716517	-0.3154	0.62377
ENSG00000131914	1	26737269	26756213	38	11	716517	1.513	0.06514
ENSG00000117682	1	26758773	26797785	60	14	716517	-0.38107	0.64843
ENSG00000198830	1	26798941	26802463	5	2	716517	-1.3228	0.90705
ENSG00000117676	1	26856252	26901521	98	13	716517	0.70624	0.24002
ENSG00000117713	1	27022524	27108595	117	7	716517	-0.32869	0.6288
ENSG00000060642	1	27113963	27124889	14	4	716517	-0.37836	0.64742
ENSG00000204160	1	27153201	27184093	45	7	716517	0.32882	0.37115
ENSG00000175793	1	27189633	27190947	1	1	716517	0.065972	0.4737
ENSG00000142751	1	27202624	27216788	19	4	716517	0.05215	0.4792
ENSG00000198746	1	27216979	27226957	13	5	716517	0.5993	0.27449
ENSG00000090273	1	27226729	27273353	69	10	716517	-0.059858	0.52387
ENSG00000131910	1	27237980	27240457	5	2	716517	-0.21408	0.58476
ENSG00000175707	1	27276053	27286897	13	4	716517	0.34924	0.36345
ENSG00000253368	1	27320198	27327389	7	3	716517	-0.81852	0.79347
ENSG00000158246	1	27331511	27339327	8	2	716517	-0.00456	0.50182
ENSG00000090020	1	27425306	27493472	78	8	716517	-0.62975	0.73557
ENSG00000142784	1	27561007	27635110	116	14	716517	0.86451	0.19365
ENSG00000186501	1	27648651	27662891	34	9	716517	0.62654	0.26548
ENSG00000142765	1	27668513	27680421	29	8	716517	1.6397	0.050533
ENSG00000142733	1	27681675	27693383	29	9	716517	1.2072	0.11368
ENSG00000142748	1	27695603	27701315	8	4	716517	1.939	0.02625
ENSG00000174950	1	27705666	27709870	4	1	716517	1.0358	0.15016
ENSG00000181773	1	27719148	27722318	2	1	716517	0.24847	0.40189
ENSG00000158195	1	27730730	27816669	121	7	716517	1.2325	0.10889
ENSG00000126705	1	27860546	27930942	68	9	716517	0.3487	0.36366
ENSG00000000938	1	27938575	27961788	43	8	716517	0.06288	0.47493
ENSG00000126709	1	27992572	27998729	12	2	716517	-0.040904	0.51631
ENSG00000009780	1	28052490	28089633	70	4	716517	0.94295	0.17285
ENSG00000117758	1	28099694	28150963	55	4	716517	1.358	0.087235
ENSG00000117751	1	28157289	28178187	22	3	716517	1.4313	0.07617
ENSG00000130775	1	28199055	28213196	49	9	716517	0.86836	0.1926
ENSG00000117748	1	28218035	28241257	61	5	716517	0.29734	0.3831
ENSG00000130768	1	28261504	28285668	78	11	716517	0.43602	0.33141
ENSG00000158156	1	28285973	28294607	26	10	716517	-0.1065	0.54241
ENSG00000158161	1	28296855	28415207	302	22	716517	-0.80662	0.79006
ENSG00000169403	1	28473677	28520447	63	15	716517	-0.36309	0.64173
ENSG00000126698	1	28525967	28559536	94	11	716517	-1.5698	0.94177
ENSG00000130770	1	28562620	28573417	42	4	716517	-1.7676	0.96144
ENSG00000130766	1	28586038	28609002	52	11	716517	-0.92584	0.82274
ENSG00000130772	1	28655513	28662476	9	5	716517	-0.9395	0.82626
ENSG00000204138	1	28696114	28826881	414	11	716517	-1.152	0.87534
ENSG00000180198	1	28832455	28865812	83	10	716517	-0.93606	0.82538
ENSG00000180098	1	28879597	28905051	47	9	716517	-1.2849	0.90059
ENSG00000120656	1	28915835	28969597	76	13	716517	-0.59089	0.7227
ENSG00000188060	1	28918712	28921955	8	4	716517	-0.50036	0.69159
ENSG00000162419	1	28995244	29045865	78	8	716517	-0.1234	0.5491
ENSG00000198492	1	29063133	29096287	53	7	716517	0.23971	0.40528
ENSG00000116329	1	29138654	29190208	178	21	716517	-0.86392	0.80618
ENSG00000159023	1	29213603	29446553	476	29	716517	-0.013147	0.50524
ENSG00000253304	1	29445940	29450447	11	4	716517	0.75015	0.22658
ENSG00000116350	1	29474255	29508499	68	15	716517	0.32473	0.37269
ENSG00000116353	1	29519385	29557454	96	16	716517	0.20283	0.41963
ENSG00000060656	1	29563028	29653325	238	34	716517	-1.3656	0.91397
ENSG00000162510	1	31184124	31196434	36	4	716517	-1.6751	0.95305
ENSG00000162511	1	31205316	31230667	60	17	716517	-1.6174	0.9471
ENSG00000162512	1	31342314	31381608	97	27	716517	0.21482	0.41495
ENSG00000134644	1	31404353	31538838	269	18	716517	1.477	0.06984
ENSG00000084628	1	31652592	31712401	251	17	716517	0.22117	0.41248
ENSG00000060688	1	31732417	31769662	105	8	716517	0.58946	0.27778
ENSG00000121766	1	31769842	31837783	165	11	716517	0.15349	0.43901
